BveTs Motor Noise Table 1.00,,,,,,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,0,,,0,,,,,,,
8,,,,,0.3,0,,,,,,,,,
16.7,,,,,0,0.3,,,,,,,,,
19,,,,,,,0,,,,,,,,
23,,,,,,,,,,,,,,,
26,,,,,,0.15,0.3,0,,,,,,,
37.6,,,,,,,0.15,1,,0,,,,,
40.12,,,,,,0,0,0,,0.4,0,,,,
54.77,,,,,,,,,,0,1,0,,,
74.53,,,,,,,,,,,0,1,0,,
89.14,,,,,,,,,,,,0,1,0,
100.58,,,,,,,,,,,,,0,1,0
113.65,,,,,,,,,,,,,,0,1
130,,,,,,,,,,,,,,,1
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,0,1,2,3,,,,,,,,,,,
0,0,,,,,,,,,,,,,,
6,0.2,0,,,,,,,,,,,,,
10,0,0.6,,,,,,,,,,,,,
15,,0.6,0,,,,,,,,,,,,
30,,0,0.6,0,,,,,,,,,,,
45,,,0,0.6,,,,,,,,,,,
52,,,,0.6,,,,,0,,,,,,
52.2,,,,0,,,,,1,,,,,,
59,,,,,,,,,0,,,,,,
