BveTs Motor Noise Table 1.00,,,,,,,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,0,0,0,0,0,0,0,0,0,0,,,
8,,,,0.3,0,,,,,,,,,,,
16.7,,,,0,0.3,0,,,,,,,,,,
25,,,,,0.15,0.3,,,,,,,,,,
33.2,,,,,,,0,,,,,,,,,
33.4,,,,,,,0.6,0,,,,,,,,
37.6,,,,,,0.15,,,,,,,,,,
41,,,,,0,,0,0.6,0,,,,,,,
50,,,,,,0,,,,,,,,,,
62.7,,,,,,,,0,0.65,0,,,,,,
75.3,,,,,,,,,0,0.7,0,,,,,
87.1,,,,,,,,,,0,0.8,0,,,,
110.4,,,,,,,,,,,0,0.9,0,,,
128,,,,,,,,,,,,0,1,,,
160,,,,0,0,0,0,0,0,0,0,0,0,,,
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,0,,,,,,,,,,,,,
8,0.5,,,,,,,,,,,,,,,
16.7,0.5,0,,,,,,,,,,,,,,
24,0,0.5,0,,,,,,,,,,,,,
33.2,,0,0.5,,,,,,,,,,,,,
33.4,0,0,0,,,,,,,,,,,,,
